Gene	Pathway1	Pathway2	BCCount	Type	meanWTfraction	SumTrial	SumCounts	meanLFC	meanPScore	meanManHdist	meanEuclDist	sdType	RankUp	RankPval
Kank4	unassigned	""	5	POLQ-deletion	0.517198415	82595	20300	0.02878189	1.980278941	2.04577328	1.982117039	0.057883088	4891	14690
Cyp2c38	unassigned	""	5	POLQ-deletion	0.493258753	99977	22221	-0.027406142	1.980120857	2.02950251	1.980879065	0.057883088	12580	14691
Snapin	unassigned	""	5	POLQ-deletion	0.545980116	39089	8786	-0.014167003	1.979795771	2.050905058	1.981560199	0.057883088	10878	14692
Cys1	unassigned	""	5	POLQ-deletion	0.496980539	120140	27951	0.024127807	1.979565063	2.01874941	1.980135591	0.057883088	5493	14693
Tedc2	unassigned	""	5	POLQ-deletion	0.506628706	98511	22737	0.010337244	1.979433648	2.021134327	1.980004724	0.057883088	7430	14694
Tm4sf1	unassigned	""	5	POLQ-deletion	0.505294125	101579	23529	0.016760662	1.979419594	2.01781594	1.980028908	0.057883088	6495	14695
Slc35b3	unassigned	""	5	POLQ-deletion	0.489565647	68201	15422	-0.003895031	1.978951569	2.025533446	1.979859285	0.057883088	9466	14696
Trim56	unassigned	""	5	POLQ-deletion	0.508671982	94835	21165	-0.024444055	1.97849311	2.033517367	1.979409401	0.057883088	12244	14697
Tmtc1	unassigned	""	5	POLQ-deletion	0.503755883	122281	28178	-0.007764948	1.978285022	2.017230679	1.978811208	0.057883088	9972	14698
Zfp113	unassigned	""	5	POLQ-deletion	0.50042882	56045	12824	0.00041047	1.977814055	2.034950522	1.978833257	0.057883088	8852	14699
Rpp14	unassigned	""	4	POLQ-deletion	0.715720209	15123	3178	-0.025338929	1.977043628	2.105898632	1.982019402	0.057883088	12344	14700
Slc16a4	unassigned	""	4	POLQ-deletion	0.499493587	48884	11305	0.026176374	1.97700069	2.037717962	1.978190145	0.057883088	5226	14701
Taf4	unassigned	""	5	POLQ-deletion	0.516117055	129676	29697	0.011315216	1.976911417	2.019249524	1.977508097	0.057883088	7278	14702
Pdcd6ip	unassigned	""	5	POLQ-deletion	0.494837101	90472	20627	0.013820281	1.976668081	2.029271757	1.977460458	0.057883088	6933	14703
Slc7a2	unassigned	""	5	POLQ-deletion	0.50593145	77428	17604	-0.032853209	1.976653009	2.038323667	1.977803536	0.057883088	13183	14704
Zcchc24	unassigned	""	5	POLQ-deletion	0.482233433	101418	23483	0.005223651	1.976556731	2.013328723	1.977029813	0.057883088	8176	14705
Odf3l2	unassigned	""	5	POLQ-deletion	0.54365181	102580	23437	0.023396499	1.97650279	2.033219942	1.977365771	0.057883088	5586	14706
Nipsnap2	unassigned	""	5	POLQ-deletion	0.478324399	62491	14380	0.032521393	1.976110939	2.038155644	1.977130472	0.057883088	4403	14707
Ly6g5b	unassigned	""	5	POLQ-deletion	0.514431131	94814	21524	-0.01135629	1.975894742	2.032280899	1.976797244	0.057883088	10517	14708
Rbl2	unassigned	""	5	POLQ-deletion	0.519104887	81100	18081	-0.059226214	1.975723541	2.040074453	1.976825848	0.057883088	15197	14709
Spag8	unassigned	""	4	POLQ-deletion	0.54283717	53351	12193	0.019194944	1.975716991	2.049902909	1.977246113	0.057883088	6173	14710
Cish	unassigned	""	5	POLQ-deletion	0.491045204	97350	22257	0.007956491	1.974716628	2.03136897	1.975593931	0.057883088	7765	14711
H2-Aa	unassigned	""	5	POLQ-deletion	0.511326745	65471	14953	0.000120059	1.973523907	2.039315414	1.974800184	0.057883088	8902	14712
Tspan10	unassigned	""	5	POLQ-deletion	0.516413286	73693	16699	-0.012055222	1.973466066	2.03694146	1.974604781	0.057883088	10607	14713
2510002D24Rik	unassigned	""	5	POLQ-deletion	0.517541711	76964	17439	-0.042462509	1.972907175	2.03645308	1.974105926	0.057883088	14052	14714
Rdh10	unassigned	""	5	POLQ-deletion	0.596186617	46171	10156	-0.022014714	1.97278583	2.052433541	1.974582205	0.057883088	11944	14715
Chrnb3	unassigned	""	5	POLQ-deletion	0.507514718	41168	9129	-0.058461453	1.972458863	2.054194366	1.974378158	0.057883088	15150	14716
Dhx30	unassigned	""	5	POLQ-deletion	0.558030336	66980	14668	-0.065381293	1.972152964	2.037535071	1.973334882	0.057883088	15514	14717
Spred3	unassigned	""	5	POLQ-deletion	0.562791241	70324	15710	-0.031084387	1.971745113	2.028890022	1.97270644	0.057883088	12982	14718
Cltc	unassigned	""	5	POLQ-deletion	0.58191104	53163	11832	-0.000562477	1.971312623	2.04897388	1.972920119	0.057883088	8990	14719
Tmem144	unassigned	""	5	POLQ-deletion	0.534588411	45417	10045	-0.05894913	1.970753903	2.052254831	1.972693263	0.057883088	15184	14720
Plpp7	unassigned	""	5	POLQ-deletion	0.518540813	124368	29045	0.016571441	1.969869141	2.006481696	1.97034094	0.057883088	6529	14721
Mc2r	unassigned	""	5	POLQ-deletion	0.518012354	63847	14943	0.05137677	1.968806697	2.020183467	1.969644471	0.057883088	2502	14722
Vmn1r11	unassigned	""	3	POLQ-deletion	0.586942605	31223	7329	-0.019862863	1.968638977	2.074268477	1.97242445	0.057883088	11672	14723
Cenpl	unassigned	""	4	POLQ-deletion	0.592917477	29087	6617	0.027586632	1.968553587	2.041789163	1.970623668	0.057883088	5037	14724
A530064D06Rik	unassigned	""	6	POLQ-deletion	0.496982586	102299	22670	-0.046867904	1.968395992	2.019307111	1.969145786	0.057883088	14397	14725
